num,titulo_empleo,descripcion_empleo,etiquetas_empleo
0,Senior Software Developer - Urgent HireSenior Software Developer - Urgent Hire,We are hiring a motivated Senior Software Developer to join our amazing team at airG in Ecuador. Growing your career as a Full Time...,AirgAirg
1,BACKEND DEVELOPER .NET - .NETCOREBACKEND DEVELOPER .NET - .NETCORE,"COMPETENCIAS ESPECÍFICAS DE .NET: ADO.NET, ASP.NET, .NET WEB SERVICES, NETCORE, .NET REMOTING Manejo de herramientas para la gestión de...",Banco PichinchaBanco Pichincha
2,Software Development Engineer - Start ImmediatelySoftware Development Engineer - Start Immediately,Growing your career as a Full Time Software Development Engineer is an amazing opportunity to develop competitive skills. If you are...,Sicpa Holding SaSicpa Holding Sa
3,Work From Home Software QA Specialist Research Development Ref. 0027E RD - Urgent HiringWork From Home Software QA Specialist Research Development Ref. 0027E RD - Urgent Hiring,We are looking for an ambitious Work From Home Software QA Specialist Research Development Ref. 0027E RD to join our incredible team at...,Bairesdev SaBairesdev Sa
4,Software QA Engineer to join a SaaS company from USA ... - Urgent HiringSoftware QA Engineer to join a SaaS company from USA ... - Urgent Hiring,"As a QA Engineer , you will create tests to identify issues to ensure the quality and integrity of all software products produced for...",Prometeo TalentPrometeo Talent
5,FrontEnd WordPress Developer (experienced with... - Fast HireFrontEnd WordPress Developer (experienced with... - Fast Hire,Growing your career as a Full Time FrontEnd WordPress Developer (experienced with... is a great opportunity to develop relevant...,Prometeo TalentPrometeo Talent
6,Remote Senior JS Developer with Devops ExperienceRemote Senior JS Developer with Devops Experience,Scopic is seeking a Senior JS Developer with DevOps and PHP experience to join our team of 250+ professionals across 50 countries. The...,""
7,FullStack Python Developer REMOTE opportunity for a... - Start ImmediatelyFullStack Python Developer REMOTE opportunity for a... - Start Immediately,We are searching for a driven FullStack Python Developer REMOTE opportunity for a... to join our dynamic team at Prometeo Talent in...,Prometeo TalentPrometeo Talent
8,Remote Full-stack PHP DeveloperRemote Full-stack PHP Developer,Are you on the hunt for exciting new challenges that boost your professional growth? If you’re a Full-stack PHP Developer with extensive...,""
9,Remote JS/TS Developer with Devops ExperienceRemote JS/TS Developer with Devops Experience,Scopic is seeking a JS/TS Developer with DevOps and PHP experience to join our team of 250+ professionals across 50 countries. The...,""
10,Python DeveloperPython Developer,Turing is leading the Talent Cloud category with the world’s largest pool of vetted developers. The company’s Intelligent Talent Cloud...,TuringTuring
11,Python DeveloperPython Developer,Our client is leading the Talent Cloud category with the world’s largest pool of vetted developers. The company’s Intelligent Talent...,SnaphuntSnaphunt
12,Senior Full Stack Angular Developer  Top U.S. Web... - UrgentSenior Full Stack Angular Developer  Top U.S. Web... - Urgent,"At this time, we are looking for a motivated Full Stack Angular Developer who can collaborate with our team to deliver great things on...",Prometeo TalentPrometeo Talent
13,Python DeveloperPython Developer,"You will be responsible for : Create efficient code while meeting business requirements precisely Communicate progress, issues, and risks...",SnaphuntSnaphunt
14,Python DeveloperPython Developer,Working as a part of a dynamic team to deliver winning products. Providing code documentation and other inputs to technical...,SnaphuntSnaphunt
15,Azure DeveloperAzure Developer,Working as a part of a dynamic team to deliver winning products. Providing code documentation and other inputs to technical...,SnaphuntSnaphunt
16,Desarrollador programador Full Stack Web Developer. - Immediate StartDesarrollador programador Full Stack Web Developer. - Immediate Start,We are looking for a hardworking Desarrollador programador Full Stack Web Developer. to join our exceptional team at OttComputer in...,OttcomputerOttcomputer
17,Remote Python DeveloperRemote Python Developer,Working as a part of a dynamic team to deliver winning products. Providing code documentation and other inputs to technical...,TuringTuring
18,Work From Home Salesforce Commerce Cloud Developer Ref. 0385E - Urgent PositionWork From Home Salesforce Commerce Cloud Developer Ref. 0385E - Urgent Position,We are hiring an expert Work From Home Salesforce Commerce Cloud Developer Ref. 0385E to join our passionate team at BairesDev SA in...,Bairesdev SaBairesdev Sa
19,Work From Home Data Analytics Developer Ref. 1028E - Urgent RoleWork From Home Data Analytics Developer Ref. 1028E - Urgent Role,We are looking to hire a motivated Work From Home Data Analytics Developer Ref. 1028E to join our high calibre team at BairesDev SA in...,Bairesdev SaBairesdev Sa
20,Work From Home Python Backend Developer R D Ref. 0071E RD - Start ImmediatelyWork From Home Python Backend Developer R D Ref. 0071E RD - Start Immediately,We are searching for a focused Work From Home Python Backend Developer R D Ref. 0071E RD to join our passionate team at BairesDev SA in...,Bairesdev SaBairesdev Sa
21,Work From Home SAP Hana Developer Ref. 0953E - Urgent HireWork From Home SAP Hana Developer Ref. 0953E - Urgent Hire,"We are searching for a driven Work From Home SAP Hana Developer Ref. 0953E to join our vibrant team at BairesDev SA in Guayaquil,...",Bairesdev SaBairesdev Sa
22,Work From Home ETL Developer Ref. 0339E - Urgent HireWork From Home ETL Developer Ref. 0339E - Urgent Hire,"We are hiring a motivated Work From Home ETL Developer Ref. 0339E to join our high calibre team at BairesDev SA in Guayaquil, Guayaquil...",Bairesdev SaBairesdev Sa
23,Work From Home Android Developer Ref. 0046E - Hiring FastWork From Home Android Developer Ref. 0046E - Hiring Fast,"We are hiring a creative Work From Home Android Developer Ref. 0046E to join our growing team at BairesDev SA in Guayaquil, Guayaquil...",Bairesdev SaBairesdev Sa
24,Work From Home Kafka Developer Ref. 0297E - with Great BenefitsWork From Home Kafka Developer Ref. 0297E - with Great Benefits,"We are looking to hire a driven Work From Home Kafka Developer Ref. 0297E to join our vibrant team at BairesDev SA in Guayaquil,...",Bairesdev SaBairesdev Sa
25,Work From Home MS Dynamics Developer Ref. 0246E - Get Hired FastWork From Home MS Dynamics Developer Ref. 0246E - Get Hired Fast,We are searching for a remarkable Work From Home MS Dynamics Developer Ref. 0246E to join our passionate team at BairesDev SA in...,Bairesdev SaBairesdev Sa
26,Work From Home Java Team Lead Ref. 0003E - with Growth OpportunitiesWork From Home Java Team Lead Ref. 0003E - with Growth Opportunities,"Who we are BairesDev is proud to be the fastestgrowing company in America. With people on five continents and worldclass clients, we are...",Bairesdev SaBairesdev Sa
27,(Ecuador) Technical Support Consultant (fluent Portuguese and English)(Ecuador) Technical Support Consultant (fluent Portuguese and English),SupportYourApp is a Support-as-a-Service international company that provides BPO services for other IT companies around the globe. We...,SupportYourAppSupportYourApp
28,Work From Home Node Team Lead Ref. 0111E - with Growth OpportunitiesWork From Home Node Team Lead Ref. 0111E - with Growth Opportunities,"Who we are BairesDev is proud to be the fastestgrowing company in America. With people on five continents and worldclass clients, we are...",Bairesdev SaBairesdev Sa
29,Work From Home Android Engineer Ref. 0046E - Get Hired FastWork From Home Android Engineer Ref. 0046E - Get Hired Fast,"We are hiring a confident Work From Home Android Engineer Ref. 0046E to join our growing team at BairesDev SA in Guayaquil, Guayaquil...",Bairesdev SaBairesdev Sa
30,Work From Home Data Engineer Ref. 0960E - Fast HireWork From Home Data Engineer Ref. 0960E - Fast Hire,"We are looking for an enthusiastic Work From Home Data Engineer Ref. 0960E to join our all-star team at BairesDev SA in Guayaquil,...",Bairesdev SaBairesdev Sa
31,Work From Home Lean Master Ref. 0073E Dlvr - Immediate StartWork From Home Lean Master Ref. 0073E Dlvr - Immediate Start,"We are looking for an expert Work From Home Lean Master Ref. 0073E Dlvr to join our diverse team at BairesDev SA in Guayaquil, Guayaquil...",Bairesdev SaBairesdev Sa
32,Work From Home QA Engineer Ref. 0027E - Urgent PositionWork From Home QA Engineer Ref. 0027E - Urgent Position,"We are hiring an expert Work From Home QA Engineer Ref. 0027E to join our high calibre team at BairesDev SA in Guayaquil, Guayaquil...",Bairesdev SaBairesdev Sa
33,Work From Home Python Engineer Ref. 0071E - Hiring UrgentlyWork From Home Python Engineer Ref. 0071E - Hiring Urgently,"We are looking to hire an enthusiastic Work From Home Python Engineer Ref. 0071E to join our stellar team at BairesDev SA in Quito, Quito...",Bairesdev SaBairesdev Sa
34,Work From Home Data Science Ref. 0960E - Immediate StartWork From Home Data Science Ref. 0960E - Immediate Start,"We are hiring a motivated Work From Home Data Science Ref. 0960E to join our dynamic team at BairesDev SA in Guayaquil, Guayaquil...",Bairesdev SaBairesdev Sa
35,Work From Home Big Data Engineer Ref. 0099E - Start NowWork From Home Big Data Engineer Ref. 0099E - Start Now,"We are hiring a hardworking Work From Home Big Data Engineer Ref. 0099E to join our exceptional team at BairesDev SA in Guayaquil,...",Bairesdev SaBairesdev Sa
36,Work From Home Flutter Engineer Ref. 0490E - Urgent PositionWork From Home Flutter Engineer Ref. 0490E - Urgent Position,"We are searching for an enthusiastic Work From Home Flutter Engineer Ref. 0490E to join our awesome team at BairesDev SA in Guayaquil,...",Bairesdev SaBairesdev Sa
37,Work From Home ETL Engineer Ref. 0339E - Urgent PositionWork From Home ETL Engineer Ref. 0339E - Urgent Position,"We are hiring a creative Work From Home ETL Engineer Ref. 0339E to join our diverse team at BairesDev SA in Guayaquil, Guayaquil...",Bairesdev SaBairesdev Sa
38,Desarrollador de automatización (Sector Logístico) - Get Hired FastDesarrollador de automatización (Sector Logístico) - Get Hired Fast,Growing your career as a Full Time Desarrollador de automatización (Sector Logístico) is a terrific opportunity to develop productive...,SelectaSelecta
39,Work From Home ASP.NET Engineer R D Ref. 0001E RD - Urgent HireWork From Home ASP.NET Engineer R D Ref. 0001E RD - Urgent Hire,"Who we are BairesDev is proud to be the fastestgrowing company in America. With people on five continents and worldclass clients, we are...",Bairesdev SaBairesdev Sa
40,DevOps Automation Engineer - with Great BenefitsDevOps Automation Engineer - with Great Benefits,"We are on the lookout for a remarkable DevOps Automation Engineer to join our productive team at trades.org in Guayaquil, Guayaquil...",Trades.OrgTrades.Org
41,Work From Home Senior UI Designer Ref. 0066E RD - Urgent HireWork From Home Senior UI Designer Ref. 0066E RD - Urgent Hire,"We are hiring a focused Work From Home Senior UI Designer Ref. 0066E RD to join our awesome team at BairesDev SA in Guayaquil, Guayaquil...",Bairesdev SaBairesdev Sa
42,Work From Home Fullstack .NET Angular R D Ref. 0001E RD - Start NowWork From Home Fullstack .NET Angular R D Ref. 0001E RD - Start Now,We are looking to hire an enthusiastic Work From Home Fullstack .NET Angular R D Ref. 0001E RD to join our diverse team at BairesDev SA...,Bairesdev SaBairesdev Sa
43,Director of Business SystemsDirector of Business Systems,Inspectorio is hiring a Director of Business Systems to drive systems strategy and execution to support our growth in business...,InspectorioInspectorio
44,"Lead, Mobile And Web Applications - Get Hired FastLead, Mobile And Web Applications - Get Hired Fast","We are looking to hire an organized Lead, Mobile And Web Applications to join our stellar team at Cpp in Pastaza. Growing your career as...",CppCpp
45,Product Manager - Remote - Latin America - Start ImmediatelyProduct Manager - Remote - Latin America - Start Immediately,Growing your career as a Full Time Product Manager - Remote - Latin America is an amazing opportunity to develop competitive skills. If...,Fullstack LabsFullstack Labs
46,Product Manager - Remote - Latin America - with Great BenefitsProduct Manager - Remote - Latin America - with Great Benefits,We are searching for a motivated Product Manager - Remote - Latin America to join our exceptional team at FullStack Labs in...,Fullstack LabsFullstack Labs
47,Work From Home Oracle ATG Engineer Ref. 0892E - Hiring FastWork From Home Oracle ATG Engineer Ref. 0892E - Hiring Fast,"We are looking to hire a capable Work From Home Oracle ATG Engineer Ref. 0892E to join our diverse team at BairesDev SA in Guayaquil,...",Bairesdev SaBairesdev Sa
48,Work From Home C Architect Ref. 0043E - Urgent RoleWork From Home C Architect Ref. 0043E - Urgent Role,"We are searching for a resourceful Work From Home C Architect Ref. 0043E to join our stellar team at BairesDev SA in Guayaquil, Guayaquil...",Bairesdev SaBairesdev Sa
49,Work From Home Golang Tech Lead Ref. 0138E - Immediate StartWork From Home Golang Tech Lead Ref. 0138E - Immediate Start,"We are looking to hire an energetic Work From Home Golang Tech Lead Ref. 0138E to join our diverse team at BairesDev SA in Guayaquil,...",Bairesdev SaBairesdev Sa
50,Work From Home Splunk Engineer Ref. 0724E - Hiring NowWork From Home Splunk Engineer Ref. 0724E - Hiring Now,"We are looking to hire an energetic Work From Home Splunk Engineer Ref. 0724E to join our diverse team at BairesDev SA in Guayaquil,...",Bairesdev SaBairesdev Sa
51,Work From Home Android Tech Lead Ref. 0046E - Fast HireWork From Home Android Tech Lead Ref. 0046E - Fast Hire,"We are looking for a driven Work From Home Android Tech Lead Ref. 0046E to join our growing team at BairesDev SA in Guayaquil, Guayaquil...",Bairesdev SaBairesdev Sa
52,Work From Home WebRTC Tech Lead Ref. 0838E - Hiring NowWork From Home WebRTC Tech Lead Ref. 0838E - Hiring Now,"We are looking for a focused Work From Home WebRTC Tech Lead Ref. 0838E to join our vibrant team at BairesDev SA in Guayaquil, Guayaquil...",Bairesdev SaBairesdev Sa
53,Work From Home SQL Engineer Ref. 0090E - Immediate StartWork From Home SQL Engineer Ref. 0090E - Immediate Start,"We are on the lookout for a focused Work From Home SQL Engineer Ref. 0090E to join our dynamic team at BairesDev SA in Guayaquil,...",Bairesdev SaBairesdev Sa
54,Work From Home Big Data Architect Ref. 0099E - Hiring UrgentlyWork From Home Big Data Architect Ref. 0099E - Hiring Urgently,"We are looking for a driven Work From Home Big Data Architect Ref. 0099E to join our growing team at BairesDev SA in Guayaquil, Guayaquil...",Bairesdev SaBairesdev Sa
55,Work From Home Salesforce Tech Lead Ref. 0102E - Fast HireWork From Home Salesforce Tech Lead Ref. 0102E - Fast Hire,We are searching for a hardworking Work From Home Salesforce Tech Lead Ref. 0102E to join our incredible team at BairesDev SA in...,Bairesdev SaBairesdev Sa
